Distance	pdb_id
34.72479327512261	4DGP
35.14733078058702	7jvm
35.228236771090316	7JVN
35.35663316833208	5ehp
35.229584797439784	5ehr
35.36984066970051	6mdd
35.36047171631057	6bmr
35.23884463202504	6wu8
35.28709823717445	6mdb
35.31432005575075	6bmu
35.248286128548145	6mdc
35.228028301339826	6mda
35.31791712431525	6md7
35.35188577714066	6bmv
35.29174631553389	6bmw
34.75825949324851	5x94
34.43766271104936	5df6
35.2983760249675	6bmy
35.35855729522911	6bmx
35.41536970017396	6md9
34.735558509976485	5x7b
