Distance	pdb_id
34.40809583513741	5df6
34.00052917235259	6bmy
34.06727541204315	6md9
33.986520695711114	6bmx
34.30123388451209	5x7b
34.15824799371303	6mdd
34.112216653275404	6bmr
33.871350179761066	6wu8
34.10195365371316	6bmu
34.039558692791545	6mdb
33.95115675496198	6mdc
34.20354352987422	6bmv
33.96175762530555	6mda
34.005975210247975	6md7
34.30752885300834	5x94
33.97666918636964	6bmw
33.7216338423867	4DGP
33.88208182801051	7jvm
33.95396763266408	7JVN
34.04497754441908	5ehp
33.84918027072443	5ehr
