Distance	pdb_id
36.3084555854418	7JVN
41.04225998894311	4DGP
36.061550784734706	7jvm
36.338029198072924	5ehr
35.67038453675542	5ehp
40.442796379577906	6wu8
35.973847653538535	6mdd
35.707375904706296	6bmr
35.91705321988428	6bmv
36.13566309063665	6mda
40.482260435899576	6md7
34.24113130432463	5x94
35.98557580475822	6bmw
35.82849193030597	6bmu
36.17528894148601	6mdb
36.68805327351125	6mdc
35.60419714022491	6bmy
35.858617234913	6md9
35.63579280723245	6bmx
36.3335734686254	5df6
33.693328449412654	5x7b
